Generated by http://statistics.gov.scot,2016-02-16T14:34:53+00:00
http://statistics.gov.scot/data/employment,Employment
measure type,""
Age,""
Gender,""
Measure (cell values): ,Count (People)

,,http://reference.data.gov.uk/id/quarter/2004-Q1,http://reference.data.gov.uk/id/quarter/2004-Q2,http://reference.data.gov.uk/id/quarter/2004-Q3,http://reference.data.gov.uk/id/quarter/2004-Q4,http://reference.data.gov.uk/id/quarter/2005-Q1,http://reference.data.gov.uk/id/quarter/2005-Q2,http://reference.data.gov.uk/id/quarter/2005-Q3,http://reference.data.gov.uk/id/quarter/2005-Q4,http://reference.data.gov.uk/id/quarter/2006-Q1,http://reference.data.gov.uk/id/quarter/2006-Q2,http://reference.data.gov.uk/id/quarter/2006-Q3,http://reference.data.gov.uk/id/quarter/2006-Q4,http://reference.data.gov.uk/id/quarter/2007-Q1,http://reference.data.gov.uk/id/quarter/2007-Q2,http://reference.data.gov.uk/id/quarter/2007-Q3,http://reference.data.gov.uk/id/quarter/2007-Q4,http://reference.data.gov.uk/id/quarter/2008-Q1,http://reference.data.gov.uk/id/quarter/2008-Q2,http://reference.data.gov.uk/id/quarter/2008-Q3,http://reference.data.gov.uk/id/quarter/2008-Q4,http://reference.data.gov.uk/id/quarter/2009-Q1,http://reference.data.gov.uk/id/quarter/2009-Q2,http://reference.data.gov.uk/id/quarter/2009-Q3,http://reference.data.gov.uk/id/quarter/2009-Q4,http://reference.data.gov.uk/id/quarter/2010-Q1,http://reference.data.gov.uk/id/quarter/2010-Q2,http://reference.data.gov.uk/id/quarter/2010-Q3,http://reference.data.gov.uk/id/quarter/2010-Q4,http://reference.data.gov.uk/id/quarter/2011-Q1
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,"2,430,600","2,439,100","2,436,000","2,441,800","2,450,500","2,453,900","2,463,600","2,473,100","2,498,100","2,508,500","2,518,600","2,523,800","2,524,700","2,532,600","2,543,800","2,550,000","2,529,400","2,526,800","2,515,000","2,502,800","2,492,400","2,470,100","2,462,300","2,465,900","2,468,600","2,470,900","2,469,400","2,462,700","2,463,800"
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,"57,600","59,000","60,400","60,600","61,000","60,300","59,400","59,300","59,800","60,300","60,600","61,500","60,500","59,600","58,400","59,200","60,400","59,400","58,700","57,200","56,500","57,100","55,900","55,200","55,500","53,600","55,000","54,200","53,400"
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,"21,600","22,100","22,500","22,200","22,100","21,700","21,700","21,900","22,000","22,700","22,700","22,400","22,300","22,200","21,900","22,700","22,700","22,200","22,200","22,300","22,600","23,600","23,900","24,900","25,500","24,800","24,400","22,600","21,600"
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,"72,200","71,900","72,000","71,900","72,100","73,200","73,800","73,000","74,400","74,900","75,000","76,300","75,100","75,100","75,300","75,600","76,000","73,900","72,600","72,400","72,400","72,400","73,100","74,500","72,900","73,800","73,600","72,000","72,000"
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,"43,600","44,300","43,900","44,000","44,000","43,800","43,800","43,500","43,400","43,400","43,000","43,500","43,000","42,800","42,700","42,800","42,200","42,300","41,600","41,400","41,200","41,000","41,200","40,300","41,000","41,400","41,100","42,800","42,000"
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,"42,800","43,700","44,400","44,800","44,400","44,700","45,000","45,200","45,400","45,600","45,000","45,000","46,500","46,200","47,000","46,500","46,600","47,200","47,600","47,100","46,600","46,100","45,400","45,500","44,700","45,600","45,200","46,000","45,800"
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,"10,500","10,200","10,300","10,400","10,400","10,700","10,800","10,500","10,500","10,300","10,200","10,600","10,900","10,800","10,700","11,100","10,600","10,900","11,000","10,900","11,300","11,200","11,000","10,800","10,500","10,300","10,300","10,300","10,500"
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,"53,300","53,500","53,000","53,000","53,800","54,300","55,100","54,500","54,100","53,800","53,300","52,800","51,900","51,500","51,400","50,200","50,500","50,000","49,800","49,400","49,700","49,700","50,500","50,700","49,600","48,800","48,400","48,400","49,400"
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,"233,000","236,100","232,200","238,000","241,100","242,800","246,100","242,900","242,700","245,100","244,300","246,400","249,300","245,300","252,400","254,600","252,800","256,200","254,500","251,400","246,800","241,800","237,300","240,300","243,200","246,400","249,600","252,200","251,100"
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,"53,600","53,600","53,000","52,200","52,000","52,400","52,400","53,400","54,000","54,000","54,800","54,900","55,500","55,800","55,900","56,400","55,800","55,300","54,800","54,400","53,700","52,200","51,600","51,100","51,200","52,300","53,000","53,000","52,600"
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,"84,400","84,400","84,800","82,800","81,500","81,700","83,500","83,800","85,100","85,100","84,800","84,800","85,000","86,200","87,100","87,200","86,800","86,000","84,900","84,600","83,400","83,100","83,300","83,900","84,900","84,200","84,200","84,200","83,000"
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,"42,100","42,300","41,300","41,600","41,700","42,100","41,900","42,000","41,900","42,200","42,300","43,000","43,300","43,100","42,600","43,000","42,700","43,200","42,700","42,800","42,500","41,400","41,800","40,700","40,600","40,600","40,100","40,700","42,000"
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,"105,300","107,000","108,000","107,500","110,000","109,400","110,000","113,600","115,100","115,000","116,300","114,400","114,000","114,100","113,500","114,500","114,600","116,000","117,100","117,600","118,700","119,700","119,300","118,800","118,600","117,000","116,000","116,400","117,500"
http://statistics.gov.scot/id/statistical-geography/S12000024,Perth and Kinross,"65,800","65,400","65,300","66,400","66,100","66,100","66,800","67,100","68,500","69,100","69,400","69,800","68,400","69,500","70,100","70,600","70,400","70,300","71,600","71,000","70,300","68,800","67,600","68,500","69,300","71,000","71,700","70,800","71,400"
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,"50,700","51,000","51,100","52,100","51,700","52,100","52,900","53,300","54,200","53,900","54,800","53,400","53,300","53,700","53,500","53,600","53,700","54,200","53,300","52,500","51,500","51,400","50,800","50,700","50,900","50,800","50,500","50,300","50,400"
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,"41,800","41,600","41,100","41,200","41,500","41,700","41,800","43,200","43,200","43,700","43,800","43,000","43,700","43,300","43,400","43,000","41,900","41,800","41,500","40,600","40,700","40,700","40,200","40,200","40,200","40,800","41,000","40,600","40,600"
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,"12,100","11,700","11,800","11,900","11,900","11,900","11,900","11,800","11,800","12,000","12,000","12,600","12,300","12,300","12,500","12,300","12,400","12,100","12,200","12,400","12,200","12,400","12,300","12,400","12,500","12,400","12,700","12,300","12,200"
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,"41,800","41,800","41,800","42,000","41,500","41,800","42,700","43,000","43,200","43,100","42,200","42,300","43,400","43,800","44,400","45,000","45,400","45,800","45,100","43,800","44,000","44,000","44,500","44,600","44,800","44,100","44,100","43,800","43,800"
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,"70,700","70,400","70,500","71,600","71,000","71,700","72,000","71,700","72,000","70,900","70,300","69,200","69,900","70,900","72,200","71,800","69,900","69,400","69,500","69,100","70,100","69,200","67,300","68,800","68,100","66,000","65,100","64,600","63,500"
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,"42,200","42,200","41,300","41,700","41,700","42,200","42,600","43,200","43,900","43,700","44,400","43,500","43,200","43,300","43,000","43,500","42,600","41,400","40,500","40,700","41,100","41,200","40,800","40,400","40,100","40,300","40,800","40,300","38,700"
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,"40,500","40,800","40,300","40,600","39,900","39,900","40,300","40,100","40,300","40,000","39,600","40,700","40,700","41,600","41,200","41,200","41,200","40,400","40,300","39,300","39,600","39,200","39,600","39,600","38,800","39,100","39,000","39,300","39,500"
http://statistics.gov.scot/id/statistical-geography/S12000046,Glasgow City,"247,800","248,800","253,600","250,700","254,000","248,800","246,800","250,600","253,400","257,700","262,300","264,500","263,400","269,500","272,500","272,100","266,700","265,200","266,000","265,000","258,600","256,600","256,400","251,400","257,500","259,100","258,900","262,900","266,600"
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,"35,500","35,800","35,800","36,100","36,200","36,100","36,200","37,000","37,200","37,100","37,100","36,500","35,700","37,000","37,500","38,000","37,600","36,600","36,200","34,500","35,000","35,900","35,800","36,900","36,600","36,600","36,600","35,500","34,900"
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,"147,500","146,200","145,600","144,300","145,100","147,000","145,500","147,600","151,800","150,700","153,800","156,800","156,600","156,200","154,600","154,200","152,200","152,200","149,600","149,400","148,500","146,700","147,600","149,600","148,100","149,300","148,900","147,100","149,300"
