Generated by http://statistics.gov.scot,2016-02-16T14:41:34+00:00,,,,,,,,
http://statistics.gov.scot/data/full-time-employment,Full-Time Employment,,,,,,,,
measure type,,,,,,,,,
Measure (cell values): ,Count (People Working Full Time),,,,,,,,
,,,,,,,,,
,,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2004,2005,2006,2007,2008,2009,2010,2011
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,42800,45800,45000,44000,45200,40800,41400,38500
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,55100,55700,55400,55500,59200,56000,53300,52100
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,16000,16000,16900,16800,16700,17200,18800,17900
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,32000,31300,31100,31200,30200,29600,29200,29800
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,7400,7200,6900,6900,6900,7000,7200,6400
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,31200,31300,32600,33600,33700,32200,29700,31100
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,39400,38700,39700,37800,37700,35600,35600,35300
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,171900,177600,183100,193000,192900,184100,178000,186300
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,38300,37700,39900,40900,40800,36600,34100,36500
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,65000,62400,65500,66200,67400,63400,62300,61400
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,29300,29300,30500,30300,31700,30200,27900,28400
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,77000,79400,83000,84700,82600,85900,82400,85100
http://statistics.gov.scot/id/statistical-geography/S12000024,Perth and Kinross,47600,48800,48800,50700,52500,52100,51700,50500
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,36800,38000,38000,39400,38900,36400,35400,35500
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,31100,32000,33300,33200,31800,30300,29500,29100
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,8200,8600,8500,8800,8700,8700,8200,8100
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,29900,30200,31700,32500,33100,32400,32100,30700
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,50500,50400,50400,48500,48600,48000,46100,42300
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,30600,31000,32000,30900,30000,28600,26800,25900
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,29200,28600,29300,29300,29000,28400,27400,26600
http://statistics.gov.scot/id/statistical-geography/S12000046,Glasgow City,193700,195600,196800,205300,211600,194200,191700,195800
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,26200,27600,28000,26600,28200,25400,26900,25200
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,114700,111800,118800,117400,113400,109600,111100,113900
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,45200,47400,46100,47900,46100,47400,46100,43500
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,40800,39400,41100,41200,42500,41000,40500,39100
http://statistics.gov.scot/id/statistical-geography/S12000013,Comhairle nan Eilean Siar,9100,8600,8800,9100,9000,8500,7400,7600
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,86500,88200,88600,91900,93600,96500,94200,91400
http://statistics.gov.scot/id/statistical-geography/S12000044,North Lanarkshire,113200,113600,117300,116400,114500,117700,112000,110700
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,36100,37400,38100,39100,36700,35700,33800,32900
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,76300,78200,78100,81500,80400,80700,77500,74600
http://statistics.gov.scot/id/statistical-geography/S12000015,Fife,128000,131700,130400,128700,129400,129000,122600,121200
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,62200,61700,63500,60300,62300,56900,54600,54900
