Generated by http://statistics.gov.scot,2016-02-18T12:14:16+00:00
http://statistics.gov.scot/data/never-worked,Never Worked
measure type,""
Age,""
Measure (cell values): ,Count (People)

,,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2004,2005,2006,2007,2008,2009,2010,2011
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,"7,100","5,600","6,000","7,100","6,400","6,700","7,300","7,000"
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,"3,400","4,400","4,200","5,000","3,600","4,300","5,700","4,900"
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,"2,000","1,400","1,800","2,400","2,100","1,800","1,500","1,800"
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,"4,100","3,700","3,300","4,600","4,900","5,200","5,000","4,300"
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,"3,100","3,400","2,900","2,400","2,800","2,800","4,900","4,100"
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,"4,600","5,100","4,500","6,500","5,200","5,200","6,400","5,200"
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,"23,100","23,400","21,600","25,700","24,800","22,900","29,500","33,500"
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,"3,200","3,600","3,100","3,700","3,100","3,800","5,700","4,800"
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,"4,300","5,000","5,500","5,900","4,700","6,000","6,000","5,700"
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,"2,900","3,600","3,700","3,800","3,900","3,200","6,500","6,400"
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,"7,600","9,100","8,800","8,300","8,000","8,400","8,000","10,400"
http://statistics.gov.scot/id/statistical-geography/S12000024,Perth and Kinross,"3,800","4,400","4,600","5,800","5,500","6,000","6,900","5,600"
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,"4,000","3,200","3,100","3,100","3,100","3,900","4,900","4,800"
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,"3,600","4,400","4,400","4,500","4,300","4,900","6,000","4,700"
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,"2,900","2,800","3,500","2,800","2,600","2,900","1,900","2,900"
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,"4,000","3,300","4,600","6,900","5,900","5,800","5,500","5,400"
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,"3,000","2,700","2,300","3,400","3,600","2,500","2,900","2,700"
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,"2,300","2,100","1,900","2,400","2,700","2,200","3,200","2,800"
http://statistics.gov.scot/id/statistical-geography/S12000046,Glasgow City,"43,000","38,700","50,300","53,600","51,000","61,200","50,700","52,500"
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,"4,000","4,000","3,800","4,500","4,100","5,200","4,400","4,100"
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,"10,700","12,800","10,800","9,100","10,400","9,900","13,100","12,300"
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,"8,800","7,300","6,800","8,500","8,400","10,200","7,700","8,600"
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,"5,000","4,700","5,100","5,500","6,200","5,100","5,000","6,100"
http://statistics.gov.scot/id/statistical-geography/S12000013,Comhairle nan Eilean Siar,"1,000","1,100","1,500","","1,100","1,900","1,500","1,700"
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,"7,200","7,900","7,600","7,900","8,200","8,500","6,800","5,300"
http://statistics.gov.scot/id/statistical-geography/S12000044,North Lanarkshire,"13,500","13,500","14,800","16,600","13,100","10,800","15,100","13,700"
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,"4,500","4,500","4,700","4,400","4,900","4,600","5,300","6,100"
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,"5,400","4,600","5,900","6,700","7,200","7,100","7,900","5,800"
http://statistics.gov.scot/id/statistical-geography/S12000015,Fife,"9,100","12,500","13,300","13,100","13,300","14,000","13,700","16,000"
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,"6,300","7,500","6,600","7,100","8,300","6,700","9,100","9,000"
