Generated by http://statistics.gov.scot,2016-02-18T12:09:41+00:00
http://statistics.gov.scot/data/reconvictions,Reconvictions
measure type,""
Age,""
Gender,""
Measure (cell values): ,Ratio (Reconvictions Per Offender)

,,http://reference.data.gov.uk/id/year/2003,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,0.55,0.71,0.68,0.66,0.63,0.65,0.61,0.59,0.54,0.52
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,0.67,0.74,0.85,0.69,0.79,0.77,0.69,0.82,0.66,0.9
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,0.52,0.66,0.71,0.81,0.64,0.68,0.63,0.58,0.52,0.53
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,0.31,0.38,0.28,0.54,0.53,0.54,0.47,0.48,0.28,0.48
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,0.29,0.17,0.52,0.36,0.25,0.27,0.59,0.3,0.29,0.34
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,0.45,0.59,0.61,0.5,0.53,0.58,0.63,0.56,0.42,0.46
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,0.64,0.58,0.6,0.69,0.49,0.44,0.67,0.57,0.6,0.62
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,0.46,0.54,0.67,0.66,0.64,0.56,0.62,0.54,0.43,0.6
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,0.7,0.8,0.61,0.66,0.67,0.53,0.62,0.61,0.7,0.71
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,0.57,0.87,0.73,0.69,0.69,0.72,0.58,0.61,0.57,0.47
http://statistics.gov.scot/id/statistical-geography/S12000024,Perth and Kinross,0.44,0.83,0.82,0.66,0.71,0.65,0.46,0.54,0.44,0.43
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,0.89,0.48,0.83,0.82,0.79,0.83,0.85,0.96,0.86,0.78
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,0.65,0.67,0.69,0.81,0.61,0.64,0.69,0.72,0.63,0.59
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,0.42,0.57,0.43,0.47,0.28,0.41,0.44,0.52,0.42,0.22
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,0.46,0.54,0.75,0.55,0.45,0.6,0.58,0.65,0.46,0.42
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,0.55,0.7,0.69,0.67,0.61,0.55,0.51,0.63,0.55,0.46
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,0.38,0.51,0.44,0.39,0.39,0.36,0.55,0.45,0.38,0.48
http://statistics.gov.scot/id/statistical-geography/S12000046,Glasgow City,0.58,0.73,0.66,0.65,0.62,0.7,0.62,0.57,0.57,0.57
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,0.43,0.72,0.61,0.62,0.55,0.44,0.48,0.69,0.39,0.47
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,0.55,0.64,0.56,0.56,0.61,0.58,0.58,0.52,0.54,0.58
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,0.73,0.86,0.92,1.03,1,1.1,0.86,0.95,0.72,0.44
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,0.52,0.83,0.73,0.66,0.6,0.64,0.55,0.59,0.5,0.49
http://statistics.gov.scot/id/statistical-geography/S12000013,Comhairle nan Eilean Siar,0.37,0.5,0.66,0.62,0.82,0.55,0.6,0.14,0.37,0.37
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,0.48,0.6,0.64,0.55,0.55,0.53,0.49,0.53,0.48,0.4
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,0.58,0.73,0.85,0.74,0.7,0.73,0.61,0.53,0.56,0.47
http://statistics.gov.scot/id/statistical-geography/S12000015,Fife,0.52,0.79,0.73,0.79,0.7,0.64,0.61,0.53,0.5,0.48
