Generated by http://statistics.gov.scot,2016-02-18T12:07:51+00:00
http://statistics.gov.scot/data/recorded-crime,Recorded Crimes and Offences
measure type,""
Crime or Offence,""
Measure (cell values): ,Count (Crimes Recorded)

,,http://reference.data.gov.uk/id/year/1996,http://reference.data.gov.uk/id/year/1997,http://reference.data.gov.uk/id/year/1998,http://reference.data.gov.uk/id/year/1999,http://reference.data.gov.uk/id/year/2000,http://reference.data.gov.uk/id/year/2001,http://reference.data.gov.uk/id/year/2002,http://reference.data.gov.uk/id/year/2003,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,"440,687","421,002","434,096","435,487","418,494","426,249","418,281","414,214","438,123","417,785","419,257","385,509","377,433","338,124","323,247","314,188","273,053"
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,"10,491","8,750","9,480","9,459","9,845","10,723","10,406","10,024","11,200","11,032","9,871","9,742","10,630","9,313","9,030","9,378","7,707"
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,"2,374","2,477","2,676","2,668","3,095","3,129","3,283","3,456","3,472","3,887","4,932","4,572","4,018","3,278","3,382","2,986","2,570"
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,"8,730","8,723","9,432","9,272","8,486","8,895","9,492","10,390","10,451","9,573","10,148","9,673","9,388","8,062","8,340","8,034","7,299"
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,"6,665","4,894","5,042","4,748","4,064","3,896","4,029","4,189","4,561","4,376","4,164","3,643","3,642","3,120","3,163","2,951","2,539"
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,"4,234","4,142","4,013","4,660","4,180","4,369","4,746","4,390","4,944","4,827","5,232","4,377","4,560","4,643","4,568","3,856","3,339"
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,356,368,464,349,414,368,437,530,574,578,497,418,561,543,450,420,436
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,"6,308","6,164","6,246","5,439","5,386","4,942","4,649","4,402","5,325","4,622","4,874","4,196","4,103","4,047","3,950","3,913","3,466"
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,"49,447","46,207","47,326","55,387","52,753","52,616","50,610","53,299","52,059","49,848","48,385","45,092","44,360","39,867","38,253","36,206","31,310"
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,"4,783","4,658","5,096","5,481","5,121","5,624","5,675","6,044","5,905","5,633","5,402","4,460","4,705","4,065","3,743","3,844","3,179"
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,"10,906","11,849","12,340","13,216","11,570","12,176","12,594","11,486","12,989","12,987","12,890","11,487","11,119","11,122","9,000","9,019","7,946"
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,"4,780","4,673","5,404","5,402","4,875","5,149","5,616","5,893","5,894","5,963","6,150","5,580","5,535","5,089","5,138","5,237","4,187"
